"Jan 03 2006",11.82
"Jan 04 2006",12.04
"Jan 05 2006",12.09
"Jan 06 2006",11.88
"Jan 09 2006",12.43
"Jan 10 2006",12.48
"Jan 11 2006",12.61
"Jan 12 2006",12.76
"Jan 13 2006",12.54
"Jan 17 2006",12.54
"Jan 18 2006",12.63
"Jan 19 2006",12.68
"Jan 20 2006",12.6
"Jan 23 2006",12.4
"Jan 24 2006",12.24
"Jan 25 2006",12.21
"Jan 26 2006",12.01
"Jan 27 2006",11.91
"Jan 30 2006",11.92
"Jan 31 2006",11.89
"Feb 01 2006",11.91
"Feb 02 2006",12.24
"Feb 03 2006",12.35
"Feb 06 2006",12.11
"Feb 07 2006",12.35
"Feb 08 2006",12.4
"Feb 09 2006",12.54
"Feb 10 2006",12.55
"Feb 13 2006",13.27
"Feb 14 2006",13.3
"Feb 15 2006",13.21
"Feb 16 2006",13.12
"Feb 17 2006",13.17
"Feb 21 2006",13.7
"Feb 22 2006",13.9
"Feb 23 2006",13.54
"Feb 24 2006",13.21
"Feb 27 2006",13.45
"Feb 28 2006",13.36
"Mar 01 2006",13.41
"Mar 02 2006",13.48
"Mar 03 2006",13.25
"Mar 06 2006",13.24
"Mar 07 2006",13.5
"Mar 08 2006",12.88
"Mar 09 2006",12.66
"Mar 10 2006",12.57
"Mar 13 2006",13.04
"Mar 14 2006",13.1
"Mar 15 2006",12.88
"Mar 16 2006",12.91
"Mar 17 2006",12.85
"Mar 20 2006",12.76
"Mar 21 2006",12.86
"Mar 22 2006",13.
"Mar 23 2006",12.72
"Mar 24 2006",12.55
"Mar 27 2006",12.32
"Mar 28 2006",12.24
"Mar 29 2006",11.99
"Mar 30 2006",11.89
"Mar 31 2006",11.98
"Apr 03 2006",12.11
"Apr 04 2006",12.15
"Apr 05 2006",12.21
"Apr 06 2006",12.07
"Apr 07 2006",12.19
"Apr 10 2006",12.1
"Apr 11 2006",12.16
"Apr 12 2006",12.38
"Apr 13 2006",12.49
"Apr 17 2006",11.99
"Apr 18 2006",11.91
"Apr 19 2006",12.
"Apr 20 2006",11.98
"Apr 21 2006",12.04
"Apr 24 2006",11.34
"Apr 25 2006",11.09
"Apr 26 2006",10.89
"Apr 27 2006",10.95
"Apr 28 2006",10.96
"May 01 2006",11.33
"May 02 2006",11.63
"May 03 2006",11.45
"May 04 2006",11.21
"May 05 2006",11.02
"May 08 2006",11.46
"May 09 2006",11.68
"May 10 2006",11.63
